Game,Relation,They,Console,Year,Sales
new super mario bros. 2,BOSS_IN,bowser's castle,3DS,2012,9.9
new super mario bros. u,BOSS_IN,bowser's castle,WiiU,2012,5.22
super mario run,BOSS_IN,bowser's castle,Mobile,2016,0.0
super mario run,BOSS_IN,bowser's castle,Mobile,2017,0.0
super mario odyssey,BOSS_IN,bowser's castle,Switch,2017,0.0
super mario maker 2,BOSS_IN,bowser's castle,Switch,2019,0.0
super mario bros. wonder,BOSS_IN,bowser's castle,Switch,2023,0.0
mario kart tour,BOSS_IN,chargin' chuck,Mobile,2019,0.0
super mario party,BOSS_IN,chargin' chuck,Switch,2018,0.0
mario & luigi: paper jam,BOSS_IN,chargin' chuck,3DS,2015,0.76
mario & luigi: paper jam,BOSS_IN,chargin' chuck,3DS,2016,0.76
super mario advance 4: super mario bros. 3,BOSS_IN,chargin' chuck,GBA,2003,0.0
mario kart world,BOSS_IN,chargin' chuck,Switch 2,2025,0.0
super mario party jamboree,BOSS_IN,chargin' chuck,Switch,2024,0.0
mario & luigi: superstar saga + bowser's minions,BOSS_IN,chargin' chuck,3DS,2017,0.0
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,chargin' chuck,3DS,2018,0.0
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,chargin' chuck,Switch,2018,0.0
super mario odyssey,BOSS_IN,chargin' chuck,Switch,2017,0.0
mario kart 64,BOSS_IN,chain chomp,N64,1996,9.87
mario party 2,BOSS_IN,chain chomp,N64,1999,2.5
mario kart: double dash!!,BOSS_IN,chain chomp,GC,2003,13.9
mario party 3,BOSS_IN,chain chomp,N64,2000,1.91
mario & luigi: partners in time,BOSS_IN,chain chomp,DS,2005,1.29
super mario sunshine,BOSS_IN,chain chomp,GC,2002,6.31
mario kart ds,BOSS_IN,chain chomp,DS,2005,23.21
mario party 4,BOSS_IN,chain chomp,GC,2002,2.47
new super mario bros.,BOSS_IN,chain chomp,DS,2006,29.8
mario kart wii,BOSS_IN,chain chomp,Wii,2008,35.52
mario party 5,BOSS_IN,chain chomp,GC,2003,2.08
mario & luigi: dream team,BOSS_IN,chain chomp,3DS,2013,2.08
super mario galaxy,BOSS_IN,chain chomp,Wii,2007,11.35
mario kart 7,BOSS_IN,chain chomp,3DS,2011,12.66
mario party 6,BOSS_IN,chain chomp,GC,2004,1.65
mario & luigi: paper jam,BOSS_IN,chain chomp,3DS,2015,0.76
mario & luigi: paper jam,BOSS_IN,chain chomp,3DS,2016,0.76
new super mario bros. wii,BOSS_IN,chain chomp,Wii,2009,28.32
mario party advance,BOSS_IN,chain chomp,GBA,2005,0.98
super mario galaxy 2,BOSS_IN,chain chomp,Wii,2010,7.51
mario kart tour,BOSS_IN,chain chomp,Mobile,2019,0.0
mario party 7,BOSS_IN,chain chomp,GC,2005,1.57
super mario 3d land,BOSS_IN,chain chomp,3DS,2011,10.81
mario kart live: home circuit,BOSS_IN,chain chomp,Switch,2020,0.0
mario party 8,BOSS_IN,chain chomp,Wii,2007,8.27
new super mario bros. 2,BOSS_IN,chain chomp,3DS,2012,9.9
mario party 9,BOSS_IN,chain chomp,Wii,2012,3.13
mario party: island tour,BOSS_IN,chain chomp,3DS,2013,1.92
mario party: island tour,BOSS_IN,chain chomp,3DS,2014,1.92
mario party 10,BOSS_IN,chain chomp,WiiU,2015,1.58
